Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x97e1cb136f13befc95e1162545e44d0f510f59c682e97888b9bf6faf88dbca9e","Success","Transfer","40727959","2026-01-12 19:14:25","0xb16abeb6eb5f8556703dacc8b2720a07c2a04eb1","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xb03799928f8cdf672e0db8ca9c67410c910dd1a6b365faa240e3d530f0e446d0","Success","Transfer","40727959","2026-01-12 19:14:25","0xcc4d4bce8f1ce0535fc3054965d037d569723eff","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xee4b5994ecdfc65b7f3a4b2efb6b80fa19234ed76dd2ab13b56d340357501005","Success","Transfer","40727959","2026-01-12 19:14:25","0x6e27b7f7a439edeea63514bd03e9de8320edae56","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xb13936a564812120fbb3c3e27e5ac6408e3fbe72a3e2584c2afeb1ca60e8e112","Success","Transfer","40727959","2026-01-12 19:14:25","0xc7fc5f7d5bc37a90b0e73a25616b92c7748f36ea","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x75f35fc058c5dcf871d3ea531bf35bb672c2563eaf118b6499fdcb0513f32077","Success","Transfer","40727959","2026-01-12 19:14:25","0xefa13d4010929033736bad90ead20bc87447fa30","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xb260636dbe0228169e6d37f7c5b58038908a3d6f628bd527ccf1bdf6da2071ef","Success","Transfer","40727959","2026-01-12 19:14:25","0xcef974e3ce2c8d8bf9247b136c5ac70092413c01","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x36aa0531bc9a452353e1f13798a3ae100f8a18f8b386248515d44142ef25a618","Success","Transfer","40727959","2026-01-12 19:14:25","0xdc5a0fb34ee3b77a72e2df33e7f59bc6e0657958","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x1721d47594f0a519c3e8a9c14d801aefdc884932c0a27086a6ae2dd2886bec6b","Success","Transfer","40727959","2026-01-12 19:14:25","0x05bb2fcab8663eece3b940b75b73bd4057dad3a7","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xfb0cd7756928d80245365b890372b202ef612b44f92ab84902770a7741226bef","Success","Transfer","40727959","2026-01-12 19:14:25","0x9ffcdb322a360252cb4216ef8d5f817cb0a765f6","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xdfd437997333fff4b0d0b9a0c6e845015d594aa81e5404ad365d49b5126d4b16","Success","Transfer","40727958","2026-01-12 19:14:23","0x9bd279515c09429bd0df6771be7d2b016e8f85de","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
