Transaction Hash,Status,Method,BlockNo,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Token
"0x4da9adb13c2845fd3aff8eeda97b4e1b5445f1fa2e7d8ba6b74a1ac3ac95dcc7","Success","Transfer","40727958","2026-01-12 19:14:23","0xca8bc604f7aac94a4fab69415a810d0e88d2b74f","","0xdb0933a71eea4ed53c599298953e52381637472a","","460,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x3ab730e423a0d0f5c7beb70d2ed7eaec8b97b2f360928c223cf368377442f0a9","Success","Transfer","40727958","2026-01-12 19:14:23","0x3fbaad3a1f4645433668e8f5bed89e6f7c3dd6ca","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x891909ac9b0f16b89769b1de54bac2601d1942e11ec95c3f13e79b1ca6b7125e","Success","Transfer","40727958","2026-01-12 19:14:23","0x650fcf0438ab1046a81a39e052f588e730ec967c","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xd09f5f451774cd820ba9ae13dc17945f2e0d284c735d9b0789fa00e883eb9f79","Success","Transfer","40727958","2026-01-12 19:14:23","0x1dd2fe543d36311472f824232ba173d6f282e14b","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x44356c87ec1c6d11736b23801b1893a6597af973f3e1cff26f242d36b69a76e0","Success","Transfer","40727958","2026-01-12 19:14:23","0x5bed4777fb064b87b89797b864733aeffd14d15a","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x11cf2bcc81706d3a1edd7483cd95a5591f57b51dd398c2ea9984914c58afd7b1","Success","Transfer","40727958","2026-01-12 19:14:23","0x86b8b4255896f5753beb79fe3df2d2d9e704e253","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x4a9c30caae02ddbadf64a21139503df5aa52ba97f4f8f3cd44f730230130ed74","Success","Transfer","40727958","2026-01-12 19:14:23","0x74bf3bb169fde8d7c10138be0a0c62a13b950ab2","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x0570ab55ae84e74f16d449fecc105bae81bf56d4db4dd867fc54616905661fac","Success","Transfer","40727958","2026-01-12 19:14:23","0x353bcddcb87981775efbf4c953ad5c6aa6000e5c","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x3c4a4244b92f2c4585c8077df0f129a2e616c315c21b82fd699e22c5deac7843","Success","Transfer","40727958","2026-01-12 19:14:23","0x5e8a5b6cc1c09986b3517bbaf3e5ca6ad2f80792","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x8c802234861bb6b291a56564f626f5a0283a791c406544dd4de8037bd1a17710","Success","Transfer","40727957","2026-01-12 19:14:21","0x32d3ef1cb9ca3478b47dc38678a70268042b1394","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x1501eeb674aacba1e290d30b8f0ccf665bed2dd908e1c7e36ca9969bb3380445","Success","Transfer","40727957","2026-01-12 19:14:21","0x97febcac8eb465c0ecc0bb595e924fcdc5ec627e","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xe37400603c6ea917d675cf9e510aa2adc4ebdc283b77f23504415b7623d2d6d7","Success","Transfer","40727957","2026-01-12 19:14:21","0xc0b4f50e997f03c0ed2c9321e674652499ca6fcd","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x2121a04fd8c48723eb11b959f1219c768c1808d72a20fd1c6eebeea65692bdc4","Success","Transfer","40727957","2026-01-12 19:14:21","0x1900c08a280baa1c358b47cf989d21a6e642e6a9","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x39ca2fd541a9fcd804f7105254e4d358e6465ca5c64e9a254329f2e079be3189","Success","Transfer","40727957","2026-01-12 19:14:21","0x40c12fb16104a77a6b3ceaaa4397047e95d197d9","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x5df918f018d43557a10dcfacebc6acb741e1cb6fb7bc5fcd7fcfce1aee1c29ac","Success","Transfer","40727957","2026-01-12 19:14:21","0x4ba5844b84ad5f70a4208234d9a052ea8a45087c","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xb95f9671d34f9466efa47cc60b89bb2df9659c9c86fb91a99bb6c2b4a2188890","Success","Transfer","40727957","2026-01-12 19:14:21","0x4b1c982cfd42423816bcd2f0043daea27d6b60e0","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xbae2bad694774502af41870c719296d675a185315484baa5b33c7fa1995ee64b","Success","Transfer","40727957","2026-01-12 19:14:21","0x0390ab7628987a0b1094af0a6e6196184cd23d67","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x0b1c469379a5953fea4d85c075285dd48a222c3953b64cc5d66c915a73c684b3","Success","Transfer","40727957","2026-01-12 19:14:21","0x652fe758a53a62cc6e135d57f692c30ed160fc0b","","0xdb0933a71eea4ed53c599298953e52381637472a","","460,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xf9865efb28442caa801d2e5baa943166fae8db630bbe3896b89b719a53e63f86","Success","Transfer","40727957","2026-01-12 19:14:21","0x8c4c87d2dc0b193bbd0b6c83bc3433da71506c6e","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xc7dc88d30ce170d9373f65c3ef1fa1f08774025ae47b6d6cc3a5890e7dfe0ef7","Success","Transfer","40727957","2026-01-12 19:14:21","0x21d20ed7ef1212f7a4ba5ea44ddce1deaf627612","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x193a55bcd513abba72cc51199383418e5c2b363063be7eefe5c7dbc8880fb8b4","Success","Transfer","40727956","2026-01-12 19:14:19","0x2936ba5b5f70c587c3acfc73db662dfe58ab23f3","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x08cebe32346f7f589cb68ef1e7f86be73d2bcb33228405243303b08e6450751c","Success","Transfer","40727956","2026-01-12 19:14:19","0x4ba1ad983c87f0cb36ef91bd319616d49c2e389f","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xb57ab104e27825c19e65f91761b76e102dd5fdb82e2f4b51b278044f1cd2205b","Success","Transfer","40727956","2026-01-12 19:14:19","0x7d5710e77e52ea3e1b27e3c1a566b8f4958a8673","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x050523f1a70e31caf9f1c8fff757168c798ee9e1eb355a5051afc2ac1db34751","Success","Transfer","40727956","2026-01-12 19:14:19","0x55372ffc3e01b43be0c99f2ec7082f5df110cf12","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xbbbd6541a887fbae0096409ec8bd7f96dbe02f690580a6624e37e7449b8c2ee9","Success","Transfer","40727956","2026-01-12 19:14:19","0xca0cac8e2094b8ad82467de65f51a62b9d86e50b","","0xdb0933a71eea4ed53c599298953e52381637472a","","210,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x26dfa03f1a6a117bef97e86ea0d112ae617e0ef4af0a58c256fdff792ced51cb","Success","Transfer","40727956","2026-01-12 19:14:19","0xc27cc2fc50809724e61813fad434f92e5c530c0c","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x89eaefdb6b5def4b014411810cbd584fd3e0320c7042243def0183ba8094fc9e","Success","Transfer","40727956","2026-01-12 19:14:19","0x602871207bb27c04d5fcd85ab7ffd27c965219b0","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xe2482531eb2d14dbfcd741d2a6f51fd9c2ff3018d2965053a0dc12f135f57116","Success","Transfer","40727956","2026-01-12 19:14:19","0x565a4f9f0f368fedbfd8a149ae2d18ada39e78d1","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x913deb83079c677bf52e24a1180cbee7032e67d63eedd624a063237db087b2fb","Success","Transfer","40727956","2026-01-12 19:14:19","0xdb7ec41f6f119d301ada7e14012f3d709500e87c","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x93a7a51f59c714e608d791607f4e213ca04feab000c40fc5027614604b72f54c","Success","Transfer","40727956","2026-01-12 19:14:19","0xa54371e717d41e3d125259d4e4a74d39fad93954","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x1c22ddf27d31f30e127f77f427fd268275909e066f82aee3012f555642040cc4","Success","Transfer","40727955","2026-01-12 19:14:17","0xe86984b5bedea1816818e3b97a5e804e59d9ad59","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xf948e6812de6755dc3525c09fa9fb01ff9ac84cc57778fbe17b18bda2584747b","Success","Transfer","40727955","2026-01-12 19:14:17","0x423a492f79db83c173ab0b7fe2ceeae2f0c0aea0","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xcb5637834d952bd6c595f01689fe7845129390660e2013c945ad4665137ac080","Success","Transfer","40727955","2026-01-12 19:14:17","0xc222cb6c7de3de808a4ea82aa5472cf6feb62227","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x0fcd69b412778f63cf86c0eee86aa0dba9a04d59cddb83dec6f452d282843925","Success","Transfer","40727955","2026-01-12 19:14:17","0x63739864eaab65bbf1fd573f0ceea8f2404de1a2","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xda2580dcb027d45e6dde7f08299c6428ef19bd601e7d864bae02997a8d21cf68","Success","Transfer","40727955","2026-01-12 19:14:17","0x3c3f8be8d20ec99afc76d7bc5b837c1d704b3cd9","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x4fd2650a588a83fb42a1085d0583b4b9126cd95c5e92c55aa7270b3721da9112","Success","Transfer","40727955","2026-01-12 19:14:17","0x012ceae241ef88687d8b748f147ffd80e2342c40","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xaf9f826a14ea4600fc7ca394df94c6e032477f7084b39afaff95f4b74877fe66","Success","Transfer","40727955","2026-01-12 19:14:17","0x88f170c0df160657a6493511226265c9aaaddefe","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x7bf1ebf0e0e81fae4b42633c1349b1e1ac1db5d1ac0d8557120e638ba2074284","Success","Transfer","40727955","2026-01-12 19:14:17","0xddd59658f9300d12556b21a2296d2f8066c44a5f","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x324c645004351530ca7d9af7bc2688fa59b5af41f87fc03847f91e9aad4fb5d6","Success","Transfer","40727955","2026-01-12 19:14:17","0xa49805f28d747825610385a29311689d0bdc67df","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xbf4e5cf3cb111abc739602284de83a11e3d433225c280ae083c3d1e8b4a7388e","Success","Transfer","40727955","2026-01-12 19:14:17","0x788669748a72ccdf8f5fc10c3ca4e71edb3070ee","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xb63eed73408f56106a16de4884abecde14f7c703dda135abed408c5e79744d21","Success","Transfer","40727954","2026-01-12 19:14:15","0x72875687f4d48eb0ed20270be500fa27aa1d83fa","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xfde772e7e8b0c9420cf405a3459c858b727b6aa72d6ec271361ff67510418fbc","Success","Transfer","40727954","2026-01-12 19:14:15","0x9049a532f6c236a7bc90ae6965e4649ff9f5875c","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x8e496975b48f77bc0733201d3fd6c4abc86bebba62b848f4a46dad82fd056dfd","Success","Transfer","40727954","2026-01-12 19:14:15","0xcca67b418df87a723fbd7f2ed9d5cf9968007406","","0xdb0933a71eea4ed53c599298953e52381637472a","","560,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xe1f3f6351b39dc4dca14d9f43d43e02711847cad5b3629c2bc8f75f3264822ef","Success","Transfer","40727954","2026-01-12 19:14:15","0x7ae6c6a3c689881307b26929d24b51840e3f3f51","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xd8b722e8ff1e7138ed083d16cf35a7b33a8887f89c567ff6012e59e5654dbefe","Success","Transfer","40727954","2026-01-12 19:14:15","0x4cc6f719e76606cc4478080347ed119f9a138572","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xd13aad97365ef45d3667b23229cc80d2d41a52a7da186b9d8a61a30963251bc0","Success","Transfer","40727954","2026-01-12 19:14:15","0x4720bd609751f38aeccc9ab4351b1296203d57b5","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xf4fd3e5fe5984f8e89101c8ef60171e3a26a7a9c07e7888617dc9719fbd66124","Success","Transfer","40727954","2026-01-12 19:14:15","0x742c97ed92cac519d7f61324ef6e5ccbc34a02cb","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xbbe9cb126d60ff462818db42646c275add6ca4768a7ef69a04832cb7e9b037d2","Success","Transfer","40727954","2026-01-12 19:14:15","0x481039a7e528ca42d63f4c75be3ddf84aeea9a23","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xd3802ebfae32e669c57636575f14af6763bee99c8e740383dee09bb985a4619c","Success","Transfer","40727954","2026-01-12 19:14:15","0x49b77c6fb40acc051d80c9ca369e56de8acd854a","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x3dc91e2b3072ab983b6e5102bdda7738d5484ed73e7aea0c55b9846d78d18d69","Success","Transfer","40727954","2026-01-12 19:14:15","0xf0bdaaef18ba5a1b28ca5b5174295389fd159c27","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x352f48e83c4eb4c0e0b8ac07c20d6aff2d133898021d7f1c8eea66d51e60ba31","Success","Transfer","40727954","2026-01-12 19:14:15","0x4246d7214cfcfeaeff4d05318994cc604cc6681e","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x00617ccef71ca488862154340ab69e7d44f6251f5f118b539012f92c2667a672","Success","Transfer","40727954","2026-01-12 19:14:15","0x2cc380eb189fbe89f544ab4bd8d47fa309998457","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x05d75bea2b33a52268ce1ac2faa43bdb61020062d0c23b379ea8890c52a7732a","Success","Transfer","40727954","2026-01-12 19:14:15","0xaa630c745b06e75742a60a505a093b3da8644d82","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x2bd7e6e4d4125934d8191dd7780dccc3eb8c7e55e36a4dc7a521e3785df63d0d","Success","Transfer","40727954","2026-01-12 19:14:15","0x5ce5193e887d5937ee4919616320dfc6d6f03381","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xd0df44315e8741e9d893582b283b7545cc9483c53aa073488e7bb0065fb9d468","Success","Transfer","40727954","2026-01-12 19:14:15","0x61feaa33fbd9a0c4d41a2ca9b1265033892869d7","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xf83140ec9e667c565d4b2e2a518633116bc542f7e2e881397799156ce40314bc","Success","Transfer","40727953","2026-01-12 19:14:13","0x1a485d54a8e99caa7a21a1b208aa4cd81bdea285","","0xdb0933a71eea4ed53c599298953e52381637472a","","16,660,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x3950313afee73a60a12f365b21f0ee77631bdf87a4f8f8dcb66e2cbca344b964","Success","Transfer","40727953","2026-01-12 19:14:13","0x7c4b5f559a5a747b4fb2afc28fc32437d2090491","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x708b242be2c55d922a48b7107a14ed77107364439a29942c114d5b8a7977e958","Success","Transfer","40727953","2026-01-12 19:14:13","0x2b9efb4f91f6d3223a06baa80cd2c630d7c4ef49","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x92cdb077cadc4b0d156a0ef629a391eb62339b864b328a53e19b39457783faec","Success","Transfer","40727953","2026-01-12 19:14:13","0xc3d3091502fb34ca666181aa23731e81968f564e","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xb137a77168004e57b8a48f0eef80193a0ca01e3bf44dafcd813fa45f9566abf9","Success","Transfer","40727953","2026-01-12 19:14:13","0x58b73fa4f76835bd38f85345ea8283827811a01b","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x86ccc6be59395df7cfff353e63d42d43378ad6bfc8d1320d27dbaaa489db4ec0","Success","Transfer","40727952","2026-01-12 19:14:11","0xdd8aa1c024bd7c1cf45c285d0c1fe175f69b74f0","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x350d5072b4ac7b5250e62194c381bf483f238d8d237a9809f5d401896c5947f6","Success","Transfer","40727952","2026-01-12 19:14:11","0xcd5f66b070192c7def345f62685bf12ea23136fe","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x401937fe9dca81aa9435d0e56940d2c4baecd2d8c3ac7020f5af0fa402f6a9aa","Success","Transfer","40727952","2026-01-12 19:14:11","0x46af8144781faf3237561c8e5b843c89a1680519","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x74b1a2092f7f031797fc66d27fbea42b7a874fc7f7afdc2f08d3431523d15381","Success","Transfer","40727952","2026-01-12 19:14:11","0xa7f9c917bdbca0b292f52558b3aa47e1e33dc80d","yumikoz.base.eth","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xff6c9ec73cda8c4dd1af3f4f44b9852bc7fdc047f0e586dafcc8e5040996df4f","Success","Transfer","40727952","2026-01-12 19:14:11","0x561c81c67f5d67587d5404772459aae4a1a58866","","0xdb0933a71eea4ed53c599298953e52381637472a","","310,000","$0.00","ERC-20: Swipe(SWIPE)"
"0x647b9a20667bbfc243e0eb777b705aa9b97812b0e35be9d5e62cb11a82993be1","Success","Airdrop","40723396","2026-01-12 16:42:19","0xe1bd36d8025cfe4f1c1940b2ad8cddc3e9294c52","","0xdb0933a71eea4ed53c599298953e52381637472a","","9","$0.00","ERC-20: The Whale Guru(WhaleGuru)"
"0x9a1cc673feb514f8afe3761fbbc6b6595156bb8ec740c1993412671e83b6905b","Success","Claim Achievement","40719380","2026-01-12 14:28:27","0x68f12a2fe1fba2b5bfaed1ea2d844641b95b2df0","","0xdb0933a71eea4ed53c599298953e52381637472a","","100,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xc5fd766a40405c98d3a36ec786302d16c5315ad2a341e45ce8b50762e3a9dd62","Success","Register Referral","40719339","2026-01-12 14:27:05","0x68f12a2fe1fba2b5bfaed1ea2d844641b95b2df0","","0xdb0933a71eea4ed53c599298953e52381637472a","","150,000","$0.00","ERC-20: Swipe(SWIPE)"
"0xefbfa412a0b81273463530be31cc4dcd0e5e5ba1e708e972291b8cd15dd007d5","Success","Claim","40696172","2026-01-12 01:34:51","0x92cb4f6461f62c892c02bad2df18c8d280ae03df","","0xdb0933a71eea4ed53c599298953e52381637472a","","2,000","$0.00","ERC-20: QR coin(QR)"
"0x39a22f8ad857e47671977f29788148a14eed576c4520f31d605024722a28f6aa","Success","Claim Airdrop","40658088","2026-01-11 04:25:23","0x78981ca2f04f97975eaa5b2d69bc1db50459bde5","","0xdb0933a71eea4ed53c599298953e52381637472a","","0.1","$0.01","SIGNET(SIGNET)"
"0xfbcfb8f6714ec91a49b3c62d8bf1164f1dfc99bedef6169300affbbcdb359404","Success","Batch Claim To","40649348","2026-01-10 23:34:03","0x323624e4cecdb5122436aafa03d4c22a0dd771b0","","0xdb0933a71eea4ed53c599298953e52381637472a","","2,428.12040603","$0.00","ERC-20: TYSM(TYSM)"
"0xfbcfb8f6714ec91a49b3c62d8bf1164f1dfc99bedef6169300affbbcdb359404","Success","Batch Claim To","40649348","2026-01-10 23:34:03","0x323624e4cecdb5122436aafa03d4c22a0dd771b0","","0xdb0933a71eea4ed53c599298953e52381637472a","","0.05059","$0.05","USDC(USDC)"
"0xe8f05114ef8e24b4f8cc9239278540bfa7b25482d80086e8dde5ee325a7d9f67","Success","Airdrop","40644624","2026-01-10 20:56:35","0x61cfc8dded821e1cf81cdb055a8789660e4c24ab","","0xdb0933a71eea4ed53c599298953e52381637472a","","9","$0.00","ERC-20: Fogo(FOGO)"
"0x108e66aa8d64e026ecf80fa9bb7056221448bac43ece1bb9f3f7643030a4cdac","Success","Claim","40644600","2026-01-10 20:55:47","0x92cb4f6461f62c892c02bad2df18c8d280ae03df","","0xdb0933a71eea4ed53c599298953e52381637472a","","2,000","$0.00","ERC-20: QR coin(QR)"
"0x0b59257ea6a5e8e78c6280ecf39ccdb85caf597b0f7edd5456e541cbbaab3d31","Success","0xe34a5d4d","40616839","2026-01-10 05:30:25","0x99191a4ddcfc8c030283058326128412360c2fb6","","0xdb0933a71eea4ed53c599298953e52381637472a","","100","$0.00","ERC-20: Blue(1)"
"0xa4122a6faeb3e38e49b17220391433d95b0b62a1b9cd346d600d7672cb7be440","Success","Airdrop","40597024","2026-01-09 18:29:55","0x01af27cd29eaab7392039c9fae18a5c86938b96a","","0xdb0933a71eea4ed53c599298953e52381637472a","","9","$0.00","ERC-20: Unitas(UP)"
"0xf935ad31ae27dadc455f8071110d72d5a8fee4cc0368dd52df75cadfeba96712","Success","Claim","40597004","2026-01-09 18:29:15","0x92cb4f6461f62c892c02bad2df18c8d280ae03df","","0xdb0933a71eea4ed53c599298953e52381637472a","","2,000","$0.00","ERC-20: QR coin(QR)"
"0x2aa3cab7767b589666886f8c93cab8c209b1c45b45f787982422cabcc6d9a2d7","Success","Dag Swap By Order Id","40596962","2026-01-09 18:27:51","0xdb0933a71eea4ed53c599298953e52381637472a","","0x411d2c093e4c2e69bf0d8e94be1bf13dadd879c6","","35.040573","$0.92","Superfluid Token(SUP)"
"0xceb0db3cf6d406f6871e5ff9ea10925515d4096773cb471bb4e043b0258c0b17","Success","Transfer","40596916","2026-01-09 18:26:19","0xdb0933a71eea4ed53c599298953e52381637472a","","0xdb0933a71eea4ed53c599298953e52381637472a","","0","$0.00","Superfluid Token(SUP)"
